"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_14","area_sentinel_id_16"
"1",4,"K/Ka","2",163.49479675293,22.5938,2.236,"1",1252.12340994428,50264.7432746366
"1",10.25,"P","2",158.523345947266,84.475329,0.3182,"1",0,348640.638700659
"1",20,"P","2",254.483261108398,92.8125,2.021,"1",0,27950.2300006551
"1",72,"P","2",111.032661437988,92.8125,0.9288,"1",0,259631.714511286
"1",27,"P","2",103.052871704102,52.53756,1.634,"2",33.3333333333333,42228.8916022012
"1",15,"P","2",140.284896850586,92.8125,1.72,"1",3466.66666666667,134534.882837534
"2",3.5,"P","3",186.04460144043,64.83756,2.5542,"1",33.3333333333333,5419.06166079765
"1",16.5,"P","2",122.880439758301,86.601589,0.9718,"1",173.76994121975,15358.7452928225
"1",5.5,"P","2",96.3796463012695,54.80008,0.86,"1",0,4333.33333333333
"1",24.19,"P","2",100.900947570801,80.59533,1.376,"1",0,12333.3333333333
"1",16,"P","2",185.354553222656,69.00005,1.032,"1",0,5698.70583613714
"1",5,"P","2",191.336791992188,92.8125,1.892,"1",0,7992.59348213673
"1",17,"P","2",148.831314086914,86.601589,0.9718,"1",485418.874385053,161689.758572334
"2",43.5,"P","2",193.212768554688,45.845405,1.548,"2",10691.454903502,33008.6693622172
"1",55,"P","2",91.7963790893555,86.015654,1.591,"1",0,27104.6524516152
"1",28,"P","2",106.32487487793,86.601589,0.9718,"1",207917.500513202,37509.8891347026
"1",11.5,"K","2",76.2852096557617,32.983565,3.01,"1",100.471962491671,69281.9037879507
"2",16.5,"P","2",171.529800415039,36.53135,1.548,"2",0,2945.94749212265
"2",75.5,"P","1",144.585327148438,13.03926,2.15,"2",4966.66666666667,46117.9242925621
"2",80.5,"K/Ka","2",122.540382385254,29.69186,5.719,"1",11073.153040139,14922.5092108672
"2",18,"P","2",172.559860229492,71.231593,1.548,"1",0,105461.789129023
"2",4.5,"P","2",119.543975830078,92.8125,2.064,"1",15876.8042101408,41611.4863102635
"2",22,"K","1",62.0941734313965,13.1011,4.902,"2",0,32801.5249909988
"2",4,"P","3",203.934906005859,51.88757,4.859,"1",11382.4970570703,19000
"1",7,"P","2",133.699615478516,62.2344,1.72,"2",2900,25534.0946509037
"1",10,"P","3",214.366607666016,58.48131,1.29,"2",0,0
"2",4.1,"P","3",194.728973388672,27.492265,1.548,"2",23700,419769.276106914
"1",4.90000000000001,"K","1",151.897994995117,18.5681,1.548,"2",0,3266.66666666667
"1",5.2,"K","1",52.008602142334,46.94383,1.505,"2",43934.3326292767,32149.0144940848
"2",9,"P","3",212.554962158203,40.3407,1.548,"2",0,100
"2",11,"P","2",168.505035400391,46.1876,2.15,"2",150.870770712694,121619.22538865
"2",19,"P","2",220.924728393555,92.8125,0.774,"1",113329.394639481,4268.69723772009
"1",39.5,"K","1",15.7909097671509,14.21438,3.44,"2",29629.1708506256,2768.47542710602
"1",3.39,"P","2",131.454895019531,92.8125,2.064,"1",65856.3890791226,14490.1332742224
"1",16.3,"K","1",32.0196075439453,22.5938,3.225,"2",500,6966.66666666667
"2",39,"P","2",130.38883972168,86.64376,1.032,"1",13938.05161908,21454.8060670495
"1",54,"P","2",129.141952514648,47.35945,1.548,"2",3134.50902973612,28817.9945603789
"2",7.5,"P","2",147.994094848633,22.84962,2.838,"3",164417.536165751,489567.736051168
"2",0,"K/Ka","2",161.010025024414,24.68757,1.935,"2",0,22639.536408366
"1",39,"P","2",105.117691040039,54.80008,0.86,"1",0,26863.6283702062
"1",8.1,"P","2",60.1967544555664,70.33129,0.946,"1",13532.3552027384,93097.3429824235
"1",19,"P","1",104.601264953613,22.54695,1.72,"3",1366.66666666667,2466.66666666667
"2",11,"P","2",123.730018615723,20.66434,2.15,"3",169951.388738921,215240.461814272
"2",10,"P","2",133.84748840332,21.29248,1.978,"3",281070.852239884,674971.369622834
"2",6,"P","2",142.861297607422,92.8125,1.0664,"1",18029.3616141658,1204217.91519353
"1",4.5,"P","2",115.145729064941,92.8125,0.516,"1",0,6233.33333333333
"2",3,"K","1",96.4006576538086,14.70918,2.494,"2",475808.775363608,53822.7943954058
"1",7,"K","2",65.6221618652344,26.59426,2.408,"2",0,0
"1",2.5,"P","2",120.669052124023,92.8125,2.4854,"1",33.3333333333333,23782.3926613045
"1",5.2,"P","2",65.0741424560547,92.8125,2.408,"1",5065.47827770313,5150.73805044716
"1",15,"P","2",160.915176391602,92.8125,2.365,"1",30063.2471883049,33.3333333333333
"1",7,"P","2",83.2679595947266,92.8125,2.408,"1",0,7927.17512665937
"2",3.2,"P","3",166.558792114258,22.626716,9.5632,"1",816273.288471763,127310.09672848
"1",41.41,"P","2",268.580108642578,42.90635,3.999,"1",0,9400
"2",1.98,"P","3",204.196411132812,57.30945,1.548,"2",6770.46111820576,958.631497739407
"1",39.5,"P","2",124.375709533691,86.601589,0.9718,"1",0,1608.19271430373
"1",11.5,"K","1",47.1489601135254,50.57976,3.096,"1",0,300
"2",8.5,"K","2",63.7391738891602,15.474275,1.419,"2",162877.003961322,1629.61336001754
"2",5,"P","3",197.125610351562,19.74599,2.666,"2",20633.3333333333,850740.979925916
"1",24.3,"P","2",138.102661132812,85.78128,0.774,"1",0,68218.4247222067
"2",7,"P","2",181.475708007812,13.1011,4.902,"2",33.3333333333333,12814.0142443435
"2",0.810000000000002,"K/P","1",155.111938476562,74.08754,1.548,"1",234934.365607549,241190.072860983
"1",10,"P","2",73.3887557983398,71.7563,0.86,"1",0,23927.0520567584
"1",11.3,"P","2",92.1982955932617,84.95315,0.946,"1",0,6562.45934466521
"1",4.7,"P","2",45.426212310791,92.8125,2.408,"1",6218.68465946366,14271.3849915041
"1",10,"K","1",228.070571899414,59.63754,3.5088,"1",0,2166.66666666667
"1",39,"K/P","2",130.633209228516,92.8125,2.6316,"1",33.3333333333333,103856.23803072
"1",6,"K","1",116.775619506836,56.61564,1.548,"2",0,6076.81492865086
